Length (major axis),Width (minor axis),Thickness (depth),Area,Perimeter,Roundness,Solidity,Compactness,Aspect Ratio,Eccentricity,Extent,Convex hull(convex area),MAMRA,REGULAR,SANORA
-1.0,0.8203770946977402,0.5579431157626407,0.19919514685566703,0.21388774574823868,-1.0,0.9288420357917073,0.03458226741332235,-1.0,-1.0,0.5792728034847028,0.20029660388551085,1.0,0.0,0.0
-1.0,0.857015169504876,0.5615424043978905,0.2042284821911226,0.2378171634165213,-1.0,0.8701826492148377,0.051482648893106914,-1.0,-1.0,0.5157897472691053,0.21012012457363188,1.0,0.0,0.0
-1.0,0.8290446289739006,0.5419024891530595,0.19640218631749656,0.21590266500732905,-1.0,0.9065398351972433,0.038055380869128685,-1.0,-1.0,0.5854763274214301,0.1991873053537001,1.0,0.0,0.0
-1.0,0.8486585035252991,0.5429017545916326,0.198708631149018,0.22509824798290914,-1.0,0.9001263088645062,0.04431837888402493,-1.0,-1.0,0.5899236663014582,0.2020465668100252,1.0,0.0,0.0
-1.0,0.8333381729400422,0.3903458175519026,0.15653793020601836,0.20167533453297484,-1.0,0.848824968967691,0.05472562216225024,-1.0,-1.0,0.6651644462662887,0.16237283108408718,1.0,0.0,0.0
-1.0,0.84368121037833,0.39448424184904957,0.15974533004985286,0.19558807974595563,-1.0,0.8703288272709178,0.046395728497960476,-1.0,-1.0,0.6986952715244468,0.164217707251965,1.0,0.0,0.0
-1.0,0.8111723864479499,0.3840194228517197,0.15071776082647603,0.19467767171188124,-1.0,0.8664677168516262,0.052938494179553514,-1.0,-1.0,0.6986665417284685,0.1551594245884621,1.0,0.0,0.0
-1.0,0.8100880162642998,0.3525008137543822,0.14454321580875729,0.17593620178748023,-1.0,0.9127699259625719,0.04025114461630033,-1.0,-1.0,0.7312941482464286,0.1458460625834198,1.0,0.0,0.0
0.7201360214806762,-1.0,0.6432011912615876,0.4259114661541234,0.4940320001716755,0.25835593108961835,0.8471344246068018,0.1257553123602731,-1.0,-1.0,0.8002244157264264,0.44224232537446234,1.0,0.0,0.0
0.7331385777938444,-1.0,0.5734784663754195,0.41556249624602076,0.4685673679634874,0.2330925541170777,0.8650171007571803,0.11200960635145865,-1.0,-1.0,0.7771011796269263,0.4288951505264718,1.0,0.0,0.0
0.7469198824022167,-1.0,0.5237285789291866,0.4021022283620638,0.4554066476101154,0.20456535855613417,0.8649151562293493,0.10909685218867915,-1.0,-1.0,0.8086109971401667,0.4150022245291413,1.0,0.0,0.0
0.7291465810694664,-1.0,0.5923480898285067,0.42744308967505557,0.5147883888947167,0.250887256771502,0.8442886500435458,0.14084355654216474,-1.0,-1.0,0.7516334259938582,0.44425923179593646,1.0,0.0,0.0
0.6086615857860536,-1.0,0.3377298934075294,0.27312751516607603,0.36347111134735544,0.171362071688892,0.8745807261077214,0.11284296170397135,-1.0,-1.0,0.8244291703770845,0.28075337386919763,1.0,0.0,0.0
0.5852978793968804,-1.0,0.31825759285841676,0.2588684005045348,0.35317101699327613,0.17338631512900965,0.8792181742935252,0.11416303197855354,-1.0,-1.0,0.7744985790494474,0.2656087794750111,1.0,0.0,0.0
0.5743626235693884,-1.0,0.32660334555939535,0.254279536308487,0.36155879387223755,0.1774567975434524,0.862069390068692,0.12546708685057406,-1.0,-1.0,0.8424626963338719,0.2625418952988284,1.0,0.0,0.0
0.5788619091229497,-1.0,0.29782418914520264,0.2521893206799207,0.34544594695676245,0.169630873015773,0.9125024285238519,0.11222673007937606,-1.0,-1.0,0.8166423669710892,0.25558950022245286,1.0,0.0,0.0
0.45101389020696986,0.47511677806934227,-1.0,0.390588023304703,0.33444524473294324,0.6099462848472226,0.965726794414921,0.030753670213669898,0.35015284706503524,0.6260853038671033,0.8242858053662878,0.38966038855109,1.0,0.0,0.0
0.45928451735378834,0.4717432217132109,-1.0,0.3943840470899153,0.33356163627477387,0.5998011485655488,0.9549830006991096,0.02883988241480992,0.36836216764955854,0.6448206298791597,0.8153789399981617,0.39488061693608184,1.0,0.0,0.0
